eventID,occurrenceID,scientificName,taxonRank,Lifestage,vernacularName,identifiedBy,dateIdentified,individualCount,identificationQualifier,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,scientificNameID,specificEpithet,occurrenceStatus,sex,lifeStage
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-516,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-517,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-518,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-519,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-520,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-521,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-522,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-523,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-524,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7-525,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-8,Boreoteuthis borealis,species,Juvenile,NA,Aleksey Somov,2022-03-03T00:00:00Z,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-8-526,Boreoteuthis borealis,species,NA,NA,NA,NA,1,NA,"(Sasaki, 1923)",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,urn:lsid:marinespecies.org:taxname:1468832,borealis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9,Tarletonbeania crenularis,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,8,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-506,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-507,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-508,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-509,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-510,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-511,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-512,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9-513,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-10,Oncorhynchus gorbuscha,species,Juvenile,Pink Salmon,Aleksey Somov,2022-03-03T00:00:00Z,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127182,gorbuscha,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-10-17,Oncorhynchus gorbuscha,species,NA,Pink Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127182,gorbuscha,present,Male,Juvenile
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-11,Oncorhynchus kisutch,species,immature,Coho Salmon,Aleksey Somov,2022-03-03T00:00:00Z,5,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-11-13,Oncorhynchus kisutch,species,NA,Coho Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,Male,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-11-14,Oncorhynchus kisutch,species,NA,Coho Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,Female,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-11-15,Oncorhynchus kisutch,species,NA,Coho Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,Male,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-11-16,Oncorhynchus kisutch,species,NA,Coho Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,Male,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-11-532,Oncorhynchus kisutch,species,NA,Coho Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,Female,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12,Oncorhynchus nerka,species,immature,Sockeye Salmon,Aleksey Somov,2022-03-03T00:00:00Z,9,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-4,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-5,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-6,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Male,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-7,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Male,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-8,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-9,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-10,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-11,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Male,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12-12,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Male,immature
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-13,Gonatidae,family,Juvenile,NA,Aleksey Somov,2022-03-03T00:00:00Z,4,sp. inc.,"Hoyle, 1886",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,urn:lsid:marinespecies.org:taxname:11743,NA,present,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-13-527,Gonatidae,family,NA,NA,NA,NA,1,sp. inc.,"Hoyle, 1886",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,urn:lsid:marinespecies.org:taxname:11743,NA,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-13-528,Gonatidae,family,NA,NA,NA,NA,1,sp. inc.,"Hoyle, 1886",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,urn:lsid:marinespecies.org:taxname:11743,NA,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-13-529,Gonatidae,family,NA,NA,NA,NA,1,sp. inc.,"Hoyle, 1886",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,urn:lsid:marinespecies.org:taxname:11743,NA,present,N,adult
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-13-530,Gonatidae,family,NA,NA,NA,NA,1,sp. inc.,"Hoyle, 1886",Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,NA,urn:lsid:marinespecies.org:taxname:11743,NA,present,N,adult
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-14,Aequorea,genus,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,NA,sp. inc.,"Péron & Lesueur, 1810",Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,urn:lsid:marinespecies.org:taxname:116998,NA,present,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-15,Oncorhynchus gorbuscha,species,Juvenile,Pink Salmon,Aleksey Somov,2022-03-03T00:00:00Z,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127182,gorbuscha,present,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-15-18,Oncorhynchus gorbuscha,species,NA,Pink Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127182,gorbuscha,present,Female,Juvenile
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-16,Oncorhynchus keta,species,Juvenile,Chum Salmon,Aleksey Somov,2022-03-03T00:00:00Z,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127183,keta,present,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-16-19,Oncorhynchus keta,species,NA,Chum Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127183,keta,present,Male,Juvenile
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-17,Oncorhynchus keta,species,immature,Chum Salmon,Aleksey Somov,2022-03-03T00:00:00Z,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127183,keta,present,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-17-20,Oncorhynchus keta,species,NA,Chum Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127183,keta,present,Male,immature
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-18,Oncorhynchus nerka,species,immature,Sockeye Salmon,Aleksey Somov,2022-03-03T00:00:00Z,2,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-18-21,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-18-22,Oncorhynchus nerka,species,NA,Sockeye Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:254569,nerka,present,Female,immature
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-19,Oncorhynchus kisutch,species,immature,Coho Salmon,Aleksey Somov,2022-03-03T00:00:00Z,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-19-23,Oncorhynchus kisutch,species,NA,Coho Salmon,NA,NA,1,NA,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,urn:lsid:marinespecies.org:taxname:127184,kisutch,present,Male,immature
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-20,Tarletonbeania crenularis,species,adult,NA,Aleksey Somov,2022-03-04T00:00:00Z,19,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,NA,NA
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-20-533,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-20-534,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-20-535,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-20-536,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-20-537,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-20-538,Tarletonbeania crenularis,species,NA,NA,NA,NA,1,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,urn:lsid:marinespecies.org:taxname:282927,crenularis,present,N,adult
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-21,Diaphus theta,species,adult,NA,Aleksey Somov,2022-03-04T00:00:00Z,5,NA,"Eigenmann & Eigenmann, 1890",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,urn:lsid:marinespecies.org:taxname:272694,theta,present,NA,NA
IYS2022-TINRO-3-4-Trawl,IYS2022-TINRO-3-4-Trawl-21-539,Diaphus theta,species,NA,NA,NA,NA,1,NA,"Eigenmann & Eigenmann, 1890",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,urn:lsid:marinespecies.org:taxname:272694,theta,present,N,adult
